id,price,area,bedrooms,wc,n_floors,car_place,latitude,longitude
120612,3.5,40,2.0,2.0,1.0,0,10.7914967,106.6278431
120613,6.4,31,2.0,3.0,3.0,0,10.76823,106.66632
120598,3.5,40,2.0,2.0,1.0,0,10.7914967,106.6278431
120520,6.9,34,3.0,2.0,1.0,0,10.7651403,106.6738333
120523,6.9,34,3.0,2.0,1.0,0,10.7651403,106.6738333
120529,3.3,32,2.0,2.0,2.0,1,10.812483,106.6237735
120533,4.01,42,3.0,2.0,2.0,0,10.8435958,106.6493725
120540,6.5,79,3.0,1.0,2.0,0,10.7294201,106.7348597
120545,5.24,62,4.0,2.0,1.0,1,10.8078153,106.6201452
120547,5.0,100,4.0,4.0,1.0,0,10.7597792,106.6096807
120550,2.7,66,2.0,1.0,2.0,1,10.8195042,106.6018978
120557,5.9,79,3.0,3.0,3.0,1,10.7947682,106.7093592
120558,0.012,48,3.0,3.0,2.0,0,10.7794346,106.6779732
120559,0.04,56,7.0,4.0,3.0,0,10.7696326,106.67078
120561,6.3,75,3.0,3.2174129804564857,2.0,1,10.8397,106.77093
120565,4.15,35,2.0,2.0,2.0,0,10.8435958,106.6493725
120567,3.0,100,4.0,3.0,1.0,1,10.8483113,106.7471122
120577,3.4,43,2.0,2.0,2.0,1,10.8548235,106.6560004
120588,11.4,100,4.7928482821566005,3.8229085876888216,2.0,0,10.7914967,106.6278431
120505,4.3,35,2.0,3.0,4.0,0,10.7532191,106.7060535
120508,7.1,54,4.0,3.0,4.0,1,10.7643397,106.7011609
120517,3.84,68,2.0,1.0,2.0,0,10.8306721,106.6151355
120384,5.6,88,3.0,2.0,2.0,1,10.80306,106.7090062
120385,2.9,17,2.0,2.0,2.0,1,10.8185798,106.688051
120387,6.4,65,4.0,5.0,4.0,1,10.7822816,106.6419755
120389,5.4,32,4.0,3.0,4.0,0,10.7651403,106.6738333
120393,6.9,80,3.0,2.0,2.0,1,10.820293,106.694264
120394,5.4,32,4.0,3.0,4.0,0,10.7651403,106.6738333
120409,4.85,80,2.0,2.0,2.0,0,10.8397,106.77093
120412,9.7,74,4.0,4.0,3.0,1,10.7752443,106.6476765
120433,7.2,100,4.0,4.0,2.0,1,10.881053,106.6388025
120434,2.49,16,2.0,3.0,2.0,0,10.8145634,106.6788609
120438,4.76,75,2.0,1.0,2.0,0,10.8421779,106.6158211
120444,0.017,56,1.0,1.3980454126133166,1.0,0,10.7912672,106.7183182
120445,3.2,29,3.0,2.0,3.0,0,10.8524661,106.6606113
120450,2.1,30,2.0,2.0,2.0,0,10.8428486,106.6309776
120453,2.15,34,2.0,2.0,1.0,0,10.8380478,106.6521633
120455,2.2,61,2.0,2.0,3.0,1,10.7822816,106.6419755
120456,4.5,45,3.0,3.0,2.0,0,10.80905,106.6856488
120467,5.34,96,2.0,1.0,1.0,1,10.8428486,106.6309776
120470,4.63,29,2.0,2.0,4.0,0,10.7606353,106.7081442
120471,3.8,44,2.0,1.0,2.0,0,10.8428486,106.6309776
