	id	price	area	bedrooms	wc	n_floors	car_place	house_orientation	furniture	facade	legal	street	district	type	date	address	latitude	longitude
3657	87717	11.5	63	4.0	3.0	4.0	True			False		bình thanh	bình thạnh	tin thường	28/12/2022	bình thanh, bình thạnh	10.8032563	106.6952378
3658	84133		57	2.0	2.0		False			False			thủ đức	tin thường	23/11/2022	thủ đức	10.8298295	106.7617899
3659	83621	5.1	90	3.0	2.0	5.0	False			False			gò vấp	tin thường	20/11/2022	gò vấp	10.8306171	106.6779308
3660	83365	3.3	27	3.0	3.0		False			True			tân bình	tin thường	17/11/2022	tân bình	10.802583	106.6521157
3661	104869	5.8	50	3.0	3.0	4.0	False			True			quận 10	tin thường	10/08/2023	quận 10	10.772732	106.6683666
3662	105125	3.68	30	3.0	4.0	2.0	False			False		mai văn ngọc	phú nhuận	tin thường	13/08/2023	mai văn ngọc, phú nhuận	10.7929768	106.6727396
3663	114597	5.5	66	1.0	1.0		False			False		quang trung	gò vấp	tin thường	04/12/2023	quang trung, gò vấp	10.8386889	106.6493726
3664	84390	0.98	72	4.0	5.0	3.0	True			False			hóc môn	tin thường	25/11/2022	hóc môn	10.878345	106.5763531
3665	83878	21.5	40	3.0	3.0	4.0	False			False		vĩnh viễn	quận 10	tin thường	21/11/2022	vĩnh viễn, quận 10	10.7625408	106.6612493
3666	83622	7.62	64	4.0	4.0	2.0	True	đông-nam		False		lê đức thọ	gò vấp	tin thường	20/11/2022	lê đức thọ, gò vấp	10.8431762	106.67465
3667	83366	3.9	37	2.0	2.0	2.0	True			False			gò vấp	tin thường	17/11/2022	gò vấp	10.8306171	106.6779308
3668	82854		52	4.0	4.0	2.0	True			False		đặng văn ngữ	phú nhuận	tin thường	12/11/2022	đặng văn ngữ, phú nhuận	10.79561	106.6697446
3669	82598	2.7	60	2.0	2.0	2.0	True			False		bình trưng	quận 2	tin thường	11/11/2022	bình trưng, quận 2	10.8306347	106.7010953
3670	82086	8.6	58	4.0	4.0	2.0	True			False		trần huy liệu	phú nhuận	tin thường	07/11/2022	trần huy liệu, phú nhuận	10.7913796	106.6780454
3671	81830	5.5	43	3.0	4.0	2.0	False			False		huỳnh văn bánh	phú nhuận	tin thường	04/11/2022	huỳnh văn bánh, phú nhuận	10.7922604	106.6791477
3672	81318	6.5	90	2.0	2.0	2.0	True			False			tân bình	tin thường	02/11/2022	tân bình	10.802583	106.6521157
3673	114853	25.0	215			2.0	True			False		hàn thuyên	thủ đức	tin thường	09/12/2023	hàn thuyên, thủ đức	10.870089	106.8016115
3674	114341		132				False	tây-nam		False		hồ văn tắng	củ chi	tin thường	09/11/2023	hồ văn tắng, củ chi	10.9753644	106.5708549
3675	105381	3.4	33	2.0	2.0	1.0	False			False		nguyễn thượng hiền	bình thạnh	tin thường	16/08/2023	nguyễn thượng hiền, bình thạnh	10.8150491	106.6878297
3676	114085	17.5	186	2.0	2.0		False			True		nam hòa	quận 9	tin thường	12/11/2023	nam hòa, quận 9	10.8032363	106.6747915
3677	112037	3.8	14	3.0	4.0	3.0	False			False		hoàng hoa thám	phú nhuận	tin thường	31/10/2023	hoàng hoa thám, phú nhuận	10.81023	106.6831088
3678	111269		70	2.0	2.0		False	đông-nam		False			quận 9	tin thường	23/10/2023	quận 9	10.8164747	106.7932921
3679	110501	4.5	72	3.0	1.0		True			False			quận 9	tin thường	14/10/2023	quận 9	10.8164747	106.7932921
3680	108965	4.66	88	2.0	2.0		False	đông		False		lò lu	quận 9	tin thường	27/09/2023	lò lu, quận 9	10.8397	106.77093
3681	108453	4.66	88	2.0	2.0		False	đông		False		lò lu	quận 9	tin thường	19/09/2023	lò lu, quận 9	10.8397	106.77093
3682	107941	3.7	70	3.0	2.0	1.0	True			False			bình thạnh	tin thường	14/09/2023	bình thạnh	10.8017639	106.7110322
3683	107685	4.9	70	5.0	2.0	1.0	True			False			bình thạnh	tin thường	13/09/2023	bình thạnh	10.8017639	106.7110322
3684	106405	0.012	100	3.0	2.0		False			False		đường song hành	quận 9	tin thường	25/08/2023	đường song hành, quận 9	10.8105356	106.7577496
3685	105893	4.75	90	2.0	1.0		True			False		dương đình hội	quận 9	tin thường	22/08/2023	dương đình hội, quận 9	10.8397	106.77093
3686	84902	5.65	38	3.0	4.0	4.0	False			True		cao thắng	quận 10	tin thường	30/11/2022	cao thắng, quận 10	10.7752595	106.6707184
