Cluster,n_floors,area,id,car_place,wc,bedrooms,Distance to center 1,price
1,3.0,31,120630,0,3.0,2.0,3.8054445829744448,6.4
1,3.0,44,120641,1,2.458016564365273,3.0,5.227162593063946,4.0
1,2.0,36,120654,1,2.0,2.0,5.227868524297255,3.75
1,2.0,62,120655,0,4.0,4.0,6.421464920781361,5.46
1,1.0,33,120657,0,1.0,2.0,3.168846570091138,3.8
1,2.0,32,120661,1,2.0,2.0,5.464332997243619,3.39
0,4.0,58,120663,1,4.0,4.0,6.074898209495328,5.9
1,2.0,70,120671,0,6.0,4.0,6.3980110295879316,5.9
1,4.0,100,120682,0,3.720423462387519,4.90081819815714,3.0898206751742823,11.9
1,3.0,80,120688,0,4.237291934411519,4.8319826012414575,3.0898206751742823,12.4
1,1.0,37,120698,0,2.849848512536783,2.0,2.180000493002826,4.8
1,1.0,56,120699,0,1.0,3.0,9.297743943406157,3.4
1,2.0,45,120702,1,2.0,2.0,0.9524122142480429,5.3
1,2.0,120,120703,1,4.0,4.0,9.879390742568646,10.5
0,1.0,115,120704,1,3.0,3.0,14.595223518914844,8.3
0,2.0,100,120709,0,2.0,3.0,14.595223518914844,3.755
1,1.0,95,119857,1,2.0,3.0,8.500217179306416,5.5
1,2.0,38,119859,0,2.0,2.0,4.5988960140868995,7.2
0,4.0,30,119870,1,4.0,3.0,5.808172751234591,10.0
0,2.0,80,119873,0,2.0,2.0,14.595223518914844,4.5
0,3.0,51,119878,1,4.0,3.0,12.609133525770593,6.15
1,1.0,21,119895,0,2.0,2.0,10.840459746075222,2.6
1,2.0,21,119896,0,2.0,2.0,5.725648562246705,3.0
1,3.0,52,119899,0,4.0,4.0,3.866810285253324,7.3
1,4.0,31,119900,0,3.0,3.0,4.564879663686903,5.8
1,3.0,48,119901,1,2.4249082554818453,4.0,7.231900560215816,4.3
1,2.0,45,119903,0,3.0,5.0,6.486437116985553,5.3
1,1.0,40,120612,0,2.0,2.0,1.9519882845305325,3.5
1,3.0,31,120613,0,3.0,2.0,3.7159826169994785,6.4
1,1.0,40,120598,0,2.0,2.0,1.9519882845305325,3.5
1,1.0,34,120520,0,2.0,3.0,4.512283077227826,6.9
1,1.0,34,120523,0,2.0,3.0,4.512283077227826,6.9
1,2.0,32,120529,1,2.0,2.0,3.0898206751742823,3.3
1,2.0,42,120533,0,2.0,3.0,5.464332997243619,4.01
0,2.0,79,120540,0,1.0,3.0,12.164502660349262,6.5
1,1.0,62,120545,1,2.0,4.0,3.1281105161582947,5.24
1,1.0,100,120547,0,4.0,4.0,5.499785758761167,5.0
1,2.0,66,120550,1,1.0,2.0,5.502095053144985,2.7
0,3.0,79,120557,1,3.0,3.0,6.982716365539748,5.9
1,2.0,48,120558,0,3.0,3.0,3.9346085877772365,0.012
1,3.0,56,120559,0,4.0,7.0,3.921543719868658,0.04
0,2.0,75,120561,1,3.1981296767210257,3.0,14.595223518914844,6.3
1,2.0,35,120565,0,2.0,2.0,5.464332997243619,4.15
0,1.0,100,120567,1,3.0,4.0,12.609133525770593,3.0
1,2.0,43,120577,1,2.0,2.0,6.794588917964383,3.4
1,2.0,100,120588,0,3.712690652855103,4.792837994610508,1.9519882845305325,11.4
0,4.0,35,120505,0,3.0,2.0,7.922920149704571,4.3
0,4.0,54,120508,1,3.0,4.0,6.955915646215737,7.1
1,2.0,68,120517,0,1.0,2.0,5.199179637366476,3.84
0,2.0,88,120384,1,2.0,3.0,7.007370162126788,5.6
1,2.0,17,120385,1,2.0,2.0,5.36428871739438,2.9
1,4.0,65,120387,1,5.0,4.0,1.4215171995520062,6.4
1,4.0,32,120389,0,3.0,4.0,4.512283077227826,5.4
0,2.0,80,120393,1,2.0,3.0,6.050267651419627,6.9
1,4.0,32,120394,0,3.0,4.0,4.512283077227826,5.4
0,2.0,80,120409,0,2.0,2.0,14.595223518914844,4.85
1,3.0,74,120412,1,4.0,4.0,2.16692347350554,9.7
1,2.0,100,120433,1,4.0,4.0,9.639629386990531,7.2
1,2.0,16,120434,0,3.0,2.0,4.272764395120498,2.49
1,2.0,75,120438,0,1.0,2.0,6.199952689542977,4.76
0,1.0,56,120444,0,1.3314348340263489,1.0,7.969963399785323,0.017
1,3.0,29,120445,0,2.0,3.0,6.643870766722011,3.2
1,2.0,30,120450,0,2.0,2.0,5.5917203368539,2.1
1,1.0,34,120453,0,2.0,2.0,5.142943264946826,2.15
1,3.0,61,120455,1,2.0,2.0,1.4215171995520062,2.2
1,2.0,45,120456,0,3.0,3.0,4.677145411474819,4.5
1,1.0,96,120467,1,1.0,2.0,5.5917203368539,5.34
0,4.0,29,120470,0,2.0,2.0,7.822831426744451,4.63
1,2.0,44,120471,0,1.0,2.0,5.5917203368539,3.8
1,4.0,32,120477,0,3.0,4.0,4.512283077227826,5.4
1,2.0,36,120479,0,2.0,4.0,3.9346085877772365,4.4
1,2.0,100,120487,1,5.0,5.0,9.639629386990531,7.2
1,1.0,45,120493,0,1.0,3.0,5.2527894453009125,2.73
1,2.0,109,120498,0,1.0,1.0,8.500217179306416,5.3
1,3.0,30,120500,0,2.0,3.0,3.9346085877772365,3.0
1,1.0,30,120502,1,2.0,3.0,2.7358315089589778,3.0
0,2.0,60,120266,1,4.0,4.0,8.122507244650848,10.5
0,2.0,51,120271,1,2.0,3.0,15.588350247051226,5.1
