id,price,area,bedrooms,wc,n_floors,car_place,house_orientation,furniture,facade,legal,street,district,type,date,address,latitude,longitude
91718,1.95,50,1.0,1.0,1.0,0,,,0,,đường võ chí công,quận 9,tin thường,08/03/2023,"đường võ chí công, quận 9",10.8397,106.77093
90950,2.0,50,4.0,2.0,1.0,0,,,0,,,nhà bè,tin thường,27/02/2023,nhà bè,10.6956953,106.7395591
90694,3.0,32,2.0,2.0,2.0,0,,,0,,phan văn tri,gò vấp,tin thường,24/02/2023,"phan văn tri, gò vấp",10.8283027,106.6854482
89158,5.3,54,2.0,2.0,2.0,1,,,0,,,gò vấp,tin thường,07/02/2023,gò vấp,10.8306171,106.6779308
88134,0.008,55,1.0,1.0,2.0,1,,,0,,đỗ xuân hợp,quận 9,tin thường,04/01/2023,"đỗ xuân hợp, quận 9",10.8397,106.77093
86086,4.8,65,2.0,1.0,2.0,1,bắc,,0,,lý thường kiệt,gò vấp,tin thường,11/12/2022,"lý thường kiệt, gò vấp",10.8241185,106.6838964
85062,5.5,17,3.0,3.398271436069557,4.0,1,,,0,,cách mạng tháng tám,quận 10,tin thường,01/12/2022,"cách mạng tháng tám, quận 10",10.7796082,106.6772452
84550,1.7,36,2.0,2.0,1.0,0,,,0,,,quận 8,tin thường,28/11/2022,quận 8,10.7217236,106.6296151
84038,4.0,60,2.8320777070063583,2.4549343022856913,3.0,0,,,0,,thành phố hồ chí minh,tân bình,tin thường,22/11/2022,"thành phố hồ chí minh, tân bình",10.7704304,106.650936
81990,8.9,52,4.0,3.0,3.0,1,,,0,,nguyễn trung trực,bình thạnh,tin thường,06/11/2022,"nguyễn trung trực, bình thạnh",10.8125599,106.6875435
100678,5.7,90,3.573597928200586,3.156337249977851,2.0,1,nam,,0,,số 8,gò vấp,tin thường,29/06/2023,"số 8, gò vấp",10.8554027,106.6531649
101446,4.35,38,3.0,3.0,3.0,0,bắc,,0,,phú thọ hòa,tân phú,tin thường,07/07/2023,"phú thọ hòa, tân phú",10.78563,106.6275072
114502,6.18,72,6.0,5.0,3.0,1,tây-bắc,,0,,,bình tân,tin thường,06/12/2023,bình tân,10.7703708,106.5996353
85831,5.9,56,2.0,2.0,1.0,1,,,0,,tăng nhơn phú,quận 9,tin thường,07/12/2022,"tăng nhơn phú, quận 9",10.8397,106.77093
83783,1.9,33,2.0,2.0,1.0,0,,,0,,,phú nhuận,tin thường,21/11/2022,phú nhuận,10.7990972,106.6802278
83015,4.65,48,2.0,2.584006766533889,2.0,1,,,0,,lý thánh tông,tân phú,tin thường,14/11/2022,"lý thánh tông, tân phú",10.7669112,106.626718
82759,3.45,87,3.0,2.0,1.0,0,,,0,,đường võ chí công,quận 9,tin thường,12/11/2022,"đường võ chí công, quận 9",10.8397,106.77093
81991,5.9,52,4.0,4.0,2.0,1,,,0,,tân quý,tân phú,tin thường,06/11/2022,"tân quý, tân phú",10.7941456,106.6222286
81479,4.6,50,3.0,2.0,3.0,0,,,0,,,tân bình,tin thường,03/11/2022,tân bình,10.802583,106.6521157
80711,6.6,72,4.0,3.0,2.0,0,,,0,,hương lộ 2,bình tân,tin thường,29/10/2022,"hương lộ 2, bình tân",10.7667344,106.6068788
102214,2.15,73,2.545516717632573,2.142591493692412,2.0,0,,,0,,,bình tân,tin thường,15/07/2023,bình tân,10.7703708,106.5996353
112710,0.01,65,4.0,2.310162719116511,4.0,0,,,0,,,quận 3,tin thường,07/11/2023,quận 3,10.778639,106.6870156
110150,3.9,67,3.0,3.0,1.0,0,,,0,,tân thới nhất,quận 12,tin thường,09/10/2023,"tân thới nhất, quận 12",10.8306721,106.6151355
108870,0.005,87,3.0,2.0,2.0,0,,,0,,đường võ chí công,quận 9,tin thường,26/09/2023,"đường võ chí công, quận 9",10.8397,106.77093
105542,2.35,90,2.7387852989880193,2.126447446737533,2.0,0,,,0,,,thủ đức,tin thường,17/08/2023,thủ đức,10.8298295,106.7617899
86087,12.5,70,4.0,4.284379624194879,4.0,0,,,0,,,quận 10,tin thường,11/12/2022,quận 10,10.772732,106.6683666
104519,5.95,75,4.0,3.0,2.0,1,,,0,,,quận 6,tin thường,07/08/2023,quận 6,10.745886,106.6392921
103751,3.7,43,2.0,2.0,1.0,0,,,0,,,tân bình,tin thường,29/07/2023,tân bình,10.802583,106.6521157
103239,3.68,30,3.0,4.0,2.0,0,,,0,,mai văn ngọc,phú nhuận,tin thường,26/07/2023,"mai văn ngọc, phú nhuận",10.7929768,106.6727396
101191,1.5,24,3.0,1.9549862080688174,1.0,0,,,0,,nguyễn tất thành,quận 4,tin thường,06/07/2023,"nguyễn tất thành, quận 4",10.7631595,106.7080243
100935,9.6,48,3.0,3.0,4.0,1,,,0,,nguyễn thị huỳnh,phú nhuận,tin thường,03/07/2023,"nguyễn thị huỳnh, phú nhuận",10.7967415,106.6760725
99655,9.0,40,2.0,4.602451729183815,4.0,0,,,0,,,tân bình,tin thường,16/06/2023,tân bình,10.802583,106.6521157
96583,0.56,75,2.0,2.0,2.0,0,,,0,,,hóc môn,tin thường,11/05/2023,hóc môn,10.878345,106.5763531
86855,0.019,55,1.0,1.0,1.0,0,,,0,,nguyễn hữu cảnh,bình thạnh,tin thường,16/12/2022,"nguyễn hữu cảnh, bình thạnh",10.7892164,106.7138262
96327,3.3,40,2.0,1.8310995080469619,2.0,1,,,0,,,quận 9,tin thường,06/05/2023,quận 9,10.8164747,106.7932921
95559,1.6,24,3.0,1.9549862080688174,1.0,0,,,0,,nguyễn tất thành,quận 4,tin thường,26/04/2023,"nguyễn tất thành, quận 4",10.7631595,106.7080243
95047,6.5,40,3.0,3.0,2.0,0,,,0,,,quận 10,tin thường,17/04/2023,quận 10,10.772732,106.6683666
94791,8.0,80,4.0,3.0,2.0,1,,,0,,,gò vấp,tin thường,15/04/2023,gò vấp,10.8306171,106.6779308
94535,6.6,52,4.0,5.0,3.0,1,,,0,,,gò vấp,tin thường,10/04/2023,gò vấp,10.8306171,106.6779308
88391,3.5,40,2.654510659345145,2.1294322284581493,1.0,1,,,0,,,bình tân,tin thường,10/01/2023,bình tân,10.7703708,106.5996353
87367,3.32,25,5.0,5.0,6.0,1,đông-nam,,0,,,quận 10,tin thường,23/12/2022,quận 10,10.772732,106.6683666
98120,0.01,98,3.0,2.0,3.0,0,,,0,,,quận 12,tin thường,25/05/2023,quận 12,10.8616036,106.6609731
93512,3.8,58,2.8768489658240584,2.1679999111648702,2.0,1,,,0,,hcm,quận 12,tin thường,28/03/2023,"hcm, quận 12",10.8657427,106.6187125
86600,6.6,48,4.0,3.0,2.0,1,,,0,,,bình thạnh,tin thường,15/12/2022,bình thạnh,10.8017639,106.7110322
85832,3.8,53,3.0,2.0,2.0,1,,,0,,nam hòa,quận 9,tin thường,07/12/2022,"nam hòa, quận 9",10.8032363,106.6747915
84296,7.1,33,3.0,3.0,1.0,0,,,0,,hẻm 404 nguyễn đình chiểu,quận 3,tin thường,26/11/2022,"hẻm 404 nguyễn đình chiểu, quận 3",10.7745023,106.6842978
80200,6.87,65,4.0,4.0,3.0,1,tây-nam,,0,,phan huy ích,gò vấp,tin thường,26/10/2022,"phan huy ích, gò vấp",10.8373485,106.6362851
109383,5.8,55,3.0,4.0,2.0,1,,,0,,,bình thạnh,tin thường,02/10/2023,bình thạnh,10.8017639,106.7110322
108103,5.2,75,5.0,4.0,4.0,1,,,0,,đỗ xuân hợp,quận 9,tin thường,09/09/2023,"đỗ xuân hợp, quận 9",10.8397,106.77093
107847,6.2,60,3.0,4.0,2.0,1,,,0,,trường chinh,tân bình,tin thường,13/09/2023,"trường chinh, tân bình",10.8082205,106.6345665
107591,2.1,12,1.0,2.0,1.0,1,,,0,,,bình thạnh,tin thường,11/09/2023,bình thạnh,10.8017639,106.7110322
99400,5.5,85,2.0,2.6787969207682596,1.0,0,,,0,,phạm văn chiêu,gò vấp,tin thường,14/06/2023,"phạm văn chiêu, gò vấp",10.8537373,106.6642851
101192,4.8,81,2.0,2.0,1.0,1,,,0,,trường chinh,tân bình,tin thường,06/07/2023,"trường chinh, tân bình",10.8082205,106.6345665
110920,6.7,36,4.0,3.0,3.0,1,,,0,,,bình thạnh,tin thường,19/10/2023,bình thạnh,10.8017639,106.7110322
84553,7.25,44,3.0,3.0,2.0,0,đông-bắc,,0,,cách mạng tháng 8,quận 10,tin thường,28/11/2022,"cách mạng tháng 8, quận 10",10.7842705,106.6660759
80201,6.86,65,4.0,4.0,3.0,1,bắc,,0,,phan huy ích,gò vấp,tin thường,26/10/2022,"phan huy ích, gò vấp",10.8373485,106.6362851
109896,0.022,56,1.0,1.0,1.0,0,tây-bắc,,0,,nguyễn hữu cảnh,bình thạnh,tin thường,07/10/2023,"nguyễn hữu cảnh, bình thạnh",10.7892164,106.7138262
